OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Hospitalization_Rate,Testing_Rate
497,California,US,1610296229000,36.1162,-119.6816,2675262,29707,,2645555,06,6770.72003769568,35353748,,1.11043329587906,84000006,USA,,89475.4719318121
582,England,United Kingdom,1610296229000,52.3555,-1.1743,2664129,71039,,2593090,,4759.31093373731,,,2.66650000807018,82601,GBR,,
198,Maharashtra,India,1610296229000,19.449759,76.108221,1965556,50027,1861400,54129,,1596.141460895,,,2.54518314410783,35620,IND,,
541,Texas,US,1610296229000,31.0545,-97.5635,1953646,30313,1549210,374123,48,6737.66732592122,14653811,,1.55161170447461,84000048,USA,,50537.5608349338
45,Sao Paulo,Brazil,1610296229000,-23.5505,-46.6333,1540513,48298,1350513,141702,,3354.84517547391,,,3.13518938171895,7625,BRA,,
503,Florida,US,1610296229000,27.7663,-81.6868,1464697,22804,,1441893,12,6819.60580856354,16715694,,1.55690903989016,84000012,USA,,77828.0039465983
528,New York,US,1610296229000,42.1657,-74.9481,1119284,39471,109035,970778,36,5753.6201212724,27074166,,3.52645083821443,84000036,USA,,139173.316391791
509,Illinois,US,1610296229000,40.3495,-88.9861,1024039,19210,,1004829,17,8081.22999843511,14025514,,1.87590511689496,84000017,USA,,110682.702983257
193,Karnataka,India,1610296229000,14.70518,76.166436,926767,12138,905158,9471,,1371.71426251467,,,1.30971430791127,35616,IND,,
179,Andhra Pradesh,India,1610296229000,15.9129,79.74,884689,7128,874954,2607,,1641.24918815407,,,0.805706864220082,35602,IND,,
410,Moscow,Russia,1610296229000,55.7504461,37.6174943,857568,11950,695106,150512,,6856.99591603321,,,1.39347550281727,64343,RUS,,
208,Tamil Nadu,India,1610296229000,11.006091,78.400624,825537,12215,806018,7304,,1060.53900689977,,,1.47964294756019,35630,IND,,
